Focal plane radial distance at f/69 (m),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
0.00018590571428571428,2.160087087805422e-05,0.00014564386713599632,1.903969665256885e-05,0.0001376384128934463,1.9926379968185126e-05,3.992419599395627e-05,4.0138776380956175e-05,1.806090746254436e-05,3.6609163737250275e-05,1.6918535839730808e-05,1.991498482176736e-05,1.9481092689948912e-05
0.00018913885714285714,3.1594545682398345e-05,0.0001677765303773152,2.2005932368747973e-05,0.00014671080176420408,2.3596717820617978e-05,4.1218260827044185e-05,3.8091678936171706e-05,2.03970902506674e-05,3.3219615620537236e-05,1.9358232742691378e-05,1.7468011743949325e-05,2.254438424007283e-05
0.000192372,5.759370645811718e-05,0.0001864077126731564,3.2623967356761435e-05,0.00015303367104032873,2.719534391520768e-05,4.162578544602047e-05,3.6641794575561485e-05,2.412301104619912e-05,3.066264454108442e-05,2.2690562505597516e-05,1.4585643455440975e-05,2.422947450525847e-05
0.00019560514285714284,0.00010036866835225219,0.00019861329226567538,5.077194468621999e-05,0.00015137486137948954,2.8253911723801062e-05,3.7217276851743346e-05,3.124839812587383e-05,2.7931024270976638e-05,2.680720502210363e-05,2.660592991989506e-05,1.3316678693714867e-05,2.59014909703988e-05
0.00019883828571428574,0.00015617382438869336,0.0002048125959380038,7.778748911319967e-05,0.0001468192302250543,3.130885762938081e-05,3.3278686741975456e-05,2.6032155610010945e-05,3.115718260751838e-05,2.3290555584313296e-05,2.9809511740870157e-05,1.1317997462905148e-05,2.6605842472279524e-05
0.00020207142857142857,0.00021702938305488145,0.00020249627656685596,0.00010998052001224232,0.00013734198621124345,3.807707891693158e-05,2.940774449040685e-05,2.581422241538935e-05,3.236397502392046e-05,2.287793236771271e-05,3.0461523953612615e-05,9.748986372716682e-06,2.5898119196048727e-05
0.0002053045714285714,0.0002640391613151581,0.00019603960071851512,0.00013464086051290073,0.00012603715019371897,3.5429071501043e-05,2.2546886422531626e-05,2.1400215971838986e-05,3.2855232424344354e-05,2.1966483159634666e-05,3.166769462437719e-05,9.755135554835197e-06,2.5347173590407714e-05
0.0002085377142857143,0.0003087607667015916,0.00018141396527698484,0.00016191471040090077,0.00011130848592376229,3.619566325741566e-05,1.7043589443329405e-05,1.8717779103169573e-05,3.082541372720423e-05,2.227987998669314e-05,3.0057331488680266e-05,1.0101865016153533e-05,2.2375011152535555e-05
0.00021177085714285714,0.00034070238607739224,0.00016011325728145705,0.00018332870629567122,9.302583958593316e-05,3.7910683640180125e-05,1.1674294027203457e-05,1.663498300992141e-05,2.9641192556507675e-05,2.0832228218901947e-05,2.875247922467113e-05,9.183495425780905e-06,2.09565535253158e-05
0.00021500399999999998,0.0003511490603586917,0.00013682990499174166,0.00019481260669838691,7.615926613943733e-05,3.693436343269608e-05,7.510898836412709e-06,1.7220059182021457e-05,2.7435123648348177e-05,2.2857561810603384e-05,2.6914771965909945e-05,9.359494697670308e-06,1.893595930507199e-05
0.00021823714285714287,0.00034412707064991334,0.00011415331953188491,0.00019754987158946143,6.132498896512165e-05,3.339000583615882e-05,4.401176737680214e-06,1.5402156949176365e-05,2.2294746258146502e-05,2.2584541559923607e-05,2.208002682482835e-05,1.0663819554538393e-05,1.5279691280870204e-05
0.0002214702857142857,0.0003173745352127084,8.677375262162499e-05,0.00018983095859553473,4.479773100084059e-05,3.0465672454703826e-05,2.6435859376495744e-06,1.570509318381862e-05,1.9062577684240818e-05,2.2866498728680503e-05,1.8762973251492104e-05,1.1050198195587301e-05,1.3003083855211107e-05
0.00022470342857142857,0.00028066234736601273,6.305375842423152e-05,0.00017436586499863528,3.166570548932897e-05,2.7463082690429205e-05,2.728372295789165e-06,1.674082838747884e-05,1.847631504675135e-05,2.3118018766404935e-05,1.7983605604717416e-05,1.0649147892376816e-05,1.2401947038639262e-05
0.00022793657142857143,0.0002330866951413622,4.5971000040148614e-05,0.00015220692533313902,2.3433638734029227e-05,2.2740752303052755e-05,3.820432680766416e-06,1.7081668311432265e-05,1.619230764739421e-05,2.2375511312786787e-05,1.4986486409808185e-05,1.1519859252213612e-05,1.065843630635834e-05
0.00023116971428571427,0.00017282301791845346,2.7560115961075964e-05,0.00012086446487422554,1.4737336008140375e-05,1.8306015576731918e-05,6.020030275760415e-06,1.7544468412124792e-05,1.5508545933934088e-05,2.0870530122701963e-05,1.3005991679922909e-05,1.1660118253831623e-05,9.576716979616729e-06
0.00023440285714285716,0.00012775826765279194,1.696453995419e-05,9.511360656829926e-05,1.1394551862745517e-05,1.4768377605823366e-05,1.0008859318041545e-05,1.837266018862555e-05,1.8384024504758935e-05,1.952687123532699e-05,1.4651136850807815e-05,1.0908749545351931e-05,1.0184446695082956e-05
